分类: 🍉┃咪咕频道, 名称: CCTV-5+咪咕, 有效: 5, IPv4: 12, IPv6: 0, 最小延迟: 12 ms, 最高速率: 47.90 MiB/s, 平均速率: 35.33 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🍉┃咪咕频道, 名称: CGT法语咪咕, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 30 ms, 最高速率: 15.26 MiB/s, 平均速率: 15.26 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🍉┃咪咕频道, 名称: 陕西卫视咪咕, 有效: 1, IPv4: 6, IPv6: 0, 最小延迟: 81 ms, 最高速率: 38.71 MiB/s, 平均速率: 38.71 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🍉┃咪咕频道, 名称: 东方卫视咪咕, 有效: 0, IPv4: 2, IPv6: 0, 最小延迟: 1940 ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🍉┃咪咕频道, 名称: 江苏卫视咪咕, 有效: 0, IPv4: 2, IPv6: 0, 最小延迟: — ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🍉┃咪咕频道, 名称: 湖北卫视咪咕, 有效: 0, IPv4: 2, IPv6: 0, 最小延迟: 651 ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🍉┃咪咕频道, 名称: 江西卫视咪咕, 有效: 0, IPv4: 2, IPv6: 0, 最小延迟: 862 ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🍉┃咪咕频道, 名称: 海南卫视咪咕, 有效: 0, IPv4: 2, IPv6: 0, 最小延迟: 825 ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🍓┃央视频道, 名称: CETV-1, 有效: 5, IPv4: 19, IPv6: 0, 最小延迟: 14 ms, 最高速率: 21.79 MiB/s, 平均速率: 17.27 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 🍓┃央视频道, 名称: CETV-2, 有效: 4, IPv4: 68, IPv6: 0, 最小延迟: 14 ms, 最高速率: 21.02 MiB/s, 平均速率: 15.64 MiB/s, 最高分辨率: 1280x720, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 🍓┃央视频道, 名称: CETV-3, 有效: 5, IPv4: 8, IPv6: 0, 最小延迟: 14 ms, 最高速率: 64.26 MiB/s, 平均速率: 21.82 MiB/s, 最高分辨率: 1280x720, 平均帧率: 42.5, 视频编解码器: h264, 音频编解码器: aac
分类: 🍓┃央视频道, 名称: CETV-4, 有效: 4, IPv4: 118, IPv6: 0, 最小延迟: 14 ms, 最高速率: 69.80 MiB/s, 平均速率: 28.46 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 26.67, 视频编解码器: h264, 音频编解码器: mp2
分类: 🐧┃卫视频道, 名称: 东方卫视, 有效: 5, IPv4: 8, IPv6: 0, 最小延迟: 67 ms, 最高速率: 46.45 MiB/s, 平均速率: 32.70 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🐧┃卫视频道, 名称: 浙江卫视, 有效: 6, IPv4: 7, IPv6: 0, 最小延迟: 59 ms, 最高速率: 46.99 MiB/s, 平均速率: 36.93 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🐧┃卫视频道, 名称: 湖南卫视, 有效: 5, IPv4: 9, IPv6: 0, 最小延迟: 21 ms, 最高速率: 35.95 MiB/s, 平均速率: 18.90 MiB/s, 最高分辨率: 3840x2160, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🐧┃卫视频道, 名称: 江苏卫视, 有效: 5, IPv4: 7, IPv6: 0, 最小延迟: 65 ms, 最高速率: 48.75 MiB/s, 平均速率: 35.26 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🐧┃卫视频道, 名称: 香港卫视, 有效: 1, IPv4: 13, IPv6: 0, 最小延迟: 34 ms, 最高速率: 12.54 MiB/s, 平均速率: 12.54 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🐧┃卫视频道, 名称: 北京卫视, 有效: 7, IPv4: 9, IPv6: 0, 最小延迟: 23 ms, 最高速率: 46.69 MiB/s, 平均速率: 28.63 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🐧┃卫视频道, 名称: 湖北卫视, 有效: 7, IPv4: 7, IPv6: 0, 最小延迟: 76 ms, 最高速率: 42.43 MiB/s, 平均速率: 27.53 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🐧┃卫视频道, 名称: 黑龙江卫视, 有效: 8, IPv4: 9, IPv6: 0, 最小延迟: 73 ms, 最高速率: 37.81 MiB/s, 平均速率: 31.16 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🐧┃卫视频道, 名称: 安徽卫视, 有效: 7, IPv4: 8, IPv6: 0, 最小延迟: 79 ms, 最高速率: 42.02 MiB/s, 平均速率: 27.10 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🐧┃卫视频道, 名称: 重庆卫视, 有效: 6, IPv4: 8, IPv6: 0, 最小延迟: 79 ms, 最高速率: 39.37 MiB/s, 平均速率: 31.28 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🐧┃卫视频道, 名称: 东南卫视, 有效: 6, IPv4: 7, IPv6: 0, 最小延迟: 63 ms, 最高速率: 48.96 MiB/s, 平均速率: 31.41 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🐧┃卫视频道, 名称: 甘肃卫视, 有效: 7, IPv4: 8, IPv6: 0, 最小延迟: 22 ms, 最高速率: 46.96 MiB/s, 平均速率: 20.09 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🐧┃卫视频道, 名称: 广西卫视, 有效: 6, IPv4: 8, IPv6: 0, 最小延迟: 59 ms, 最高速率: 37.36 MiB/s, 平均速率: 26.55 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🐧┃卫视频道, 名称: 贵州卫视, 有效: 7, IPv4: 7, IPv6: 0, 最小延迟: 106 ms, 最高速率: 32.87 MiB/s, 平均速率: 25.12 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🐧┃卫视频道, 名称: 海南卫视, 有效: 7, IPv4: 7, IPv6: 0, 最小延迟: 83 ms, 最高速率: 34.50 MiB/s, 平均速率: 26.44 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🐧┃卫视频道, 名称: 河北卫视, 有效: 7, IPv4: 7, IPv6: 0, 最小延迟: 50 ms, 最高速率: 55.10 MiB/s, 平均速率: 32.77 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🐧┃卫视频道, 名称: 河南卫视, 有效: 6, IPv4: 8, IPv6: 0, 最小延迟: 101 ms, 最高速率: 33.52 MiB/s, 平均速率: 24.59 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🐧┃卫视频道, 名称: 吉林卫视, 有效: 6, IPv4: 6, IPv6: 0, 最小延迟: 55 ms, 最高速率: 49.08 MiB/s, 平均速率: 43.33 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🐧┃卫视频道, 名称: 江西卫视, 有效: 6, IPv4: 7, IPv6: 0, 最小延迟: 67 ms, 最高速率: 40.83 MiB/s, 平均速率: 20.04 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🐧┃卫视频道, 名称: 辽宁卫视, 有效: 6, IPv4: 6, IPv6: 0, 最小延迟: 21 ms, 最高速率: 48.90 MiB/s, 平均速率: 37.87 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
